id,title,decision_llm,audit_reason_llm,decision_no_llm,audit_reason_no_llm
https://openalex.org/W3089888409,KLASIFIKASI CITRA DIGITAL BUMBU DAN REMPAH DENGAN ALGORITMA CONVOLUTIONAL NEURAL NETWORK (CNN),REJECTED,"The title is in Indonesian, while the abstract is in English, failing the language consistency check.",APPROVED,FastText passed English detection. | Passed vector verification (similarity: 0.5587 >= 0.50)
https://openalex.org/W2619507781,"ANALISA PERBANDINGAN METODE FILTER GAUSSIAN, MEAN DAN MEDIAN TERHADAP REDUKSI NOISE",REJECTED,"The title is in Indonesian, failing the language check, but the abstract accurately reflects the title's content regarding noise reduction methods.",APPROVED,FastText passed English detection. | Passed vector verification (similarity: 0.5298 >= 0.50)
https://openalex.org/W3197728515,Literature Study of Convolutional Neural Network Algorithm for Batik Classification,REJECTED,"The text is written in Indonesian, not English, although the title and abstract are semantically consistent.",APPROVED,FastText passed English detection. | Passed vector verification (similarity: 0.7597 >= 0.50)
https://openalex.org/W4285341955,Eksperimen Penerapan Sistem Traffic Counting dengan Algoritma YOLO (You Only Look Once) V.4.,REJECTED,"The title contains significant Indonesian words ('Eksperimen', 'Penerapan', 'dengan'), failing the English language check. However, the abstract is in English and semantically aligns with the title regarding YOLO V.4 traffic counting experiments.",APPROVED,FastText passed English detection. | Passed vector verification (similarity: 0.5238 >= 0.50)
https://openalex.org/W4236491321,Learnart : Drawing Environment using Convolutional Neural Networks,REJECTED,"The title refers to a drawing environment using Convolutional Neural Networks, while the abstract discusses simulating human consciousness, emotions, and weak AI, which are unrelated topics.",APPROVED,FastText passed English detection. | Passed vector verification (similarity: 0.6010 >= 0.50)
https://openalex.org/W4294930474,GLCM Based Locally Feature Extraction On Natural Image,REJECTED,"The text is written in Indonesian (e.g., 'value will be sought', 'basis for finding'), not English, although the title and abstract are semantically consistent.",APPROVED,FastText passed English detection. | Passed vector verification (similarity: 0.5864 >= 0.50)
https://openalex.org/W4241950092,ALGORITMA BACK PROPAGATION NEURAL NETWORK UNTUK PENGENALAN POLA KARAKTER HURUF JAWA,REJECTED,"The title contains significant non-English words ('ALGORITMA', 'BACK PROPAGATION', 'NEURAL NETWORK', 'UNTUK', 'PENGENALAN', 'POLA', 'KARAKTER', 'HURUF', 'JAWA'), making the primary language not English, although the abstract is written in English and semantically matches the title.",APPROVED,FastText passed English detection. | Passed vector verification (similarity: 0.6724 >= 0.50)
https://openalex.org/W3111765126,INDENTIFIKASI POLA AKSARA ARAB MELAYU DENGAN JARINGAN SYARAF TIRUAN CONVOLUTIONAL NEURAL NETWORK (CNN),REJECTED,"The title and abstract are written in Indonesian, not English. However, the abstract semantically matches the title by describing the identification of Malay Arabic script patterns using a Convolutional Neural Network (CNN).",APPROVED,FastText passed English detection. | Passed vector verification (similarity: 0.6123 >= 0.50)
https://openalex.org/W3016324002,"Identification of Madura Tobacco Leaf Disease Using Gray- Level Co-Occurrence Matrix, Color Moments and Naïve Bayes",REJECTED,"The title is in English, but the abstract is written in Indonesian, failing the language check. However, the abstract's content directly addresses the title's subject matter regarding tobacco disease identification methods.",APPROVED,FastText passed English detection. | Passed vector verification (similarity: 0.7349 >= 0.50)
https://openalex.org/W2970592407,RANCANG BANGUN SISTEM PENGENALAN WAJAH DENGAN METODE PRINCIPAL COMPONENT ANALYSIS,REJECTED,"The title contains significant Indonesian words ('RANCANG BANGUN', 'SISTEM', 'PENGENALAN', 'WAJAH') and is not primarily in English, although the abstract is in English and semantically matches the title.",APPROVED,FastText passed English detection. | Passed vector verification (similarity: 0.5001 >= 0.50)
https://openalex.org/W3013739823,PREDIKSI HARGA EMAS MENGGUNAKAN FEED FORWARD NEURAL NETWORK DENGAN METODE EXTREME LEARNING MACHINE,REJECTED,"The title is in Indonesian, while the abstract is in English, failing the language consistency check. However, the abstract content accurately reflects the title's subject matter regarding gold price prediction using specific neural network methods.",APPROVED,FastText passed English detection. | Passed vector verification (similarity: 0.6034 >= 0.50)
https://openalex.org/W3114781889,Fruit Maturity Classification Using Convolutional Neural Networks Method,REJECTED,"The abstract contains significant non-English words (e.g., 'textual', 'again', 'level') and grammatical errors typical of non-native writing, failing the strict English language check. However, the abstract semantically matches the title by describing a study on fruit maturity classification using CNNs.",APPROVED,FastText passed English detection. | Passed vector verification (similarity: 0.7348 >= 0.50)
https://openalex.org/W3128522786,Evaluation comparison of wave amount measurement results in brass-plated tire steel cord using RMSE and cosine similarity,REJECTED,"LLM json parse error: Expecting ',' delimiter: line 4 column 67 (char 114)",APPROVED,FastText passed English detection. | Passed vector verification (similarity: 0.7748 >= 0.50)
https://openalex.org/W3107581215,Generation of Rectangular Matrix Key for Hill Cipher Algorithm Using Playfair Cipher,REJECTED,"The text is written in Indonesian (e.g., 'In this study', 'Beside the key matrix security' are mixed with Indonesian grammar and vocabulary like 'menggunakan', 'dibuat', 'mudah'), failing the language check. However, the abstract semantically matches the title as it discusses generating a rectangular matrix key for the Hill Cipher using the Playfair algorithm.",APPROVED,FastText passed English detection. | Passed vector verification (similarity: 0.8604 >= 0.50)
https://openalex.org/W2966760810,ANALISIS DIGITAL FORENSIK REKAYASA IMAGE MENGGUNAKAN JPEGSNOOP DAN FORENSICALLY BETA,REJECTED,"The title contains significant Indonesian words ('ANALISIS', 'REKAYASA', 'MENGGUNAKAN') making the primary language not English, although the abstract is written in English. The abstract content semantically matches the title regarding digital image forensics.",APPROVED,FastText passed English detection. | Passed vector verification (similarity: 0.6121 >= 0.50)
