id,title,decision_llm,audit_reason_llm,decision_no_llm,audit_reason_no_llm
https://openalex.org/W2893344297,Klasifikasi Daun Dengan Perbaikan Fitur Citra Menggunakan Metode K-Nearest Neighbor,APPROVED,"The title and abstract are both in English and semantically consistent, describing a research paper on leaf classification using K-Nearest Neighbor and image feature improvement.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W3217734993,Klasifikasi Penyakit Daun Padi Menggunakan Convolutional Neural Network,APPROVED,"The title and abstract are both in English, and the abstract accurately describes the study on classifying rice leaf diseases using CNN as indicated in the title.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W3126558687,Klasifikasi Penyakit Tanaman Padi Menggunakan Model Deep Learning Efficientnet B3 dengan Transfer Learning,APPROVED,"The title and abstract are both in English, and the abstract accurately describes the research on classifying rice plant diseases using the EfficientNet B3 model with transfer learning, matching the title's subject matter.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W3038165747,Klasifikasi Kematangan Stroberi Berbasis Segmentasi Warna dengan Metode HSV,APPROVED,"The title is in Indonesian but the abstract is in English; however, the semantic content of the title and abstract perfectly matches, describing the same study on strawberry maturity classification using HSV color segmentation.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W3157439671,Low resource deep learning to detect waste intensity in the river flow,APPROVED,"The text is written in English, and the abstract directly elaborates on the title's topic of using deep learning (YOLO v3) to detect waste intensity in river flow.",REJECTED,Matching check failed (Semantic Mismatch: Similarity is 0.4925 (threshold: 0.50))
https://openalex.org/W2886263264,VARIASI JUMLAH ELEKTRODA DAN BESAR TEGANGAN DALAM MENURUNKAN KANDUNGAN COD DAN TSS LIMBAH CAIR TEKSTIL DENGAN METODE ELEKTROKOAGULASI,APPROVED,"The abstract is written in English and semantically aligns with the title, detailing a study on reducing COD and TSS in textile wastewater using electrocoagulation with varying electrode numbers and voltages.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W3092172319,Klasifikasi Sampah Daur Ulang Menggunakan Support Vector Machine Dengan Fitur Local Binary Pattern,APPROVED,"The title and abstract are both in English and semantically consistent, as the abstract details the methodology and results of the waste classification study mentioned in the title.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4288074893,Klasifikasi Penyakit Tanaman Jagung Menggunakan Metode Convolutional Neural Network (CNN),APPROVED,"The abstract is written in English and semantically aligns with the title, detailing a study on classifying corn plant diseases using CNN.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W2809613178,LOCAL BINARY PATTERN METHOD AND FEATURE SHAPE EXTRACTION FOR DETECTING BUTTERFLY IMAGE,APPROVED,"The text is written in English, and the abstract directly elaborates on the methods (Local Binary Pattern, feature shape extraction) and results mentioned in the title regarding butterfly image detection.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4206962617,Pengamanan Citra Digital Berbasis Kriptografi Menggunakan Algoritma Vigenere Cipher,APPROVED,"The title and abstract are both in English, and the abstract accurately describes the research on securing digital images using the Vigenere Cipher algorithm as stated in the title.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4280653792,Klasifikasi Sampah Organik dan Non-Organik Menggunakan Convolutional Neural Network,APPROVED,"The title and abstract are both in English and semantically consistent, as the abstract details a study on classifying organic and non-organic waste using Convolutional Neural Networks, which directly matches the title.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W2594568031,SISTEM PENDETEKSIAN WAJAH PADA VIDEO MENGGUNAKAN JARINGAN ADAPTIVE LINEAR NEURON (ADALINE),APPROVED,"The title and abstract are both in English and semantically consistent, as the abstract details the implementation of an ADALINE-based face detection system described in the title.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4293526634,Klasifikasi Citra Kualitas Bibit dalam Meningkatkan Produksi Kelapa Sawit Menggunakan Metode Convolutional Neural Network (CNN),APPROVED,"The title and abstract are both in English and semantically consistent, as the abstract details the study on classifying oil palm seedling images using CNN mentioned in the title.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W3123711688,CLASSIFICATION OF MEAT IMAGERY USING ARTIFICIAL NEURAL NETWORK METHOD AND TEXTURE FEATURE EXTRACTION BY GRAY LEVEL CO-OCCURRENCE MATRIX METHOD,APPROVED,"The text is written in English, and the abstract directly elaborates on the title's subject matter regarding meat classification using ANN and GLCM methods.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4323075375,Deteksi Penyakit pada Tanaman Padi Menggunakan Pengolahan Citra Digital dengan Metode Convolutional Neural Network,APPROVED,"The title and abstract are both in English and semantically consistent, discussing rice disease detection using CNN.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4390246446,IMPLEMENTATION OF FACE RECOGNITION USING GEOMETRIC FEATURES EXTRACTION,APPROVED,"The text is written in English, and the abstract directly elaborates on the title's subject matter regarding face recognition using geometric features.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4390923004,CLASSIFICATION OF TOMATO QUALITY BASED ON COLOR FEATURES AND SKIN CHARACTERISTICS USING IMAGE PROCESSING BASED ARTIFICIAL NEURAL NETWORK,APPROVED,"The text is written in English, and the abstract directly elaborates on the title's subject matter regarding tomato classification using image processing and neural networks.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4392145842,Implementasi Enkrip Dan Dekrip File Menggunakan Metode Advance Encryption Standard (AES-128),APPROVED,"The title and abstract are both in English and semantically aligned, discussing the implementation of AES-128 encryption for file security.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W2894932711,Security analysis in file with combinations One Time Pad Algorithm and Vigenere Algorithm,APPROVED,"The text is written in English, and the abstract directly elaborates on the security analysis of combining One Time Pad and Vigenere algorithms as described in the title.",REJECTED,Matching check failed (Semantic Mismatch: Similarity is 0.4790 (threshold: 0.50))
https://openalex.org/W4388996688,Implementation of Computer Vision of Jakarta Weather Image Categorization Using ResNet,APPROVED,"The text is written in English, and the abstract directly discusses using Instagram images from Jakarta to categorize weather conditions, which aligns semantically with the title about implementing computer vision for Jakarta weather image categorization.",REJECTED,Matching check failed (Semantic Mismatch: Similarity is 0.4506 (threshold: 0.50))
https://openalex.org/W4401050959,Klasifikasi Citra Stroke Menggunakan Augmentasi dan Convolutional Neural Network EfficientNet-B0,APPROVED,"The title and abstract are both in English and semantically consistent, as the abstract details the study described in the title regarding stroke image classification using EfficientNet-B0 and data augmentation.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W3214296565,PEMANTAPAN MASA INKUBASI KALUS KEDELAI SECARA IN VITRO DALAM MEDIA MS (Murashige dan Skoog) B5 (Gamborg),APPROVED,"The title and abstract are both in English and semantically consistent, as the abstract details the study on stabilizing soybean callus incubation periods in MS and B5 media mentioned in the title.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4385640517,IMPLEMENTATION OF STEGANOGRAPHY ON DIGITAL IMAGE WITH MODIFIED VIGENERE CIPHER ALGORITHM AND LEAST SIGNIFICANT BIT (LSB) METHOD,APPROVED,"The title and abstract are both written in English and semantically align, as the abstract details the implementation of steganography using the modified Vigenere cipher and LSB method described in the title.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4401224801,SINTESA CITRA DAUN KOPI MENGGUNAKAN GENERATIVE ADVERSARIAL NETWORK PADA DATASET PENYAKIT DAUN KOPI,APPROVED,"The abstract is written in English and semantically aligns with the title, detailing a study on synthesizing coffee leaf images using GANs to address dataset limitations.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4402012511,COMPARISON OF THRESHOLDING OTSU AND MORPHOLOGY OPENING PREPROCESSOR FOR IMAGE TEXT DETECTION USING TESSERACT,APPROVED,"The text is written in English. The abstract discusses image text detection, preprocessing methods (Otsu thresholding, morphology), and Tesseract OCR, which directly aligns with the paper's title.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4410468502,APPLICATION OF CANNY OPERATOR IN BATIK MOTIF IMAGE CLASSIFICATION WITH CONVOLUTIONAL NEURAL NETWORK APPROACH,APPROVED,"The text is written in English, and the abstract directly elaborates on the title's subject matter, detailing the application of the Canny operator and CNN for batik motif classification.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4414707788,Penerjemahan Rambu Lalu Lintas Bilingual di Bali: Antara Makna dan Konteks,APPROVED,"The abstract is written in English and semantically aligns with the title, discussing the translation of bilingual traffic signs in Bali.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4414749402,Kajian terhadap Artikel Ilmiah tentang Fungsi dan Bentuk Register Bahasa dalam Berbagai Ruang Sosial,APPROVED,"The abstract is written in English and semantically aligns with the title, discussing the functions and forms of language registers in various social contexts as indicated by the title.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W2526904418,OPTIMASI PROSES PENGUKURAN DIMENSI DAN DEFECT UBIN KERAMIK MENGGUNAKAN PENGOLAHAN CITRA DIGITAL DAN FULL FACTORIAL DESIGN,APPROVED,"The title and abstract are both in English, and the abstract details the methodology and results of the optimization process for measuring ceramic tile dimensions and defects using image processing, which directly matches the title.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W2954056491,Klasifikasi Wajah Hewan Mamalia Tampak Depan Menggunakan k-Nearest Neighbor Dengan Ekstraksi Fitur HOG,APPROVED,"The abstract is written in English and semantically aligns with the title, detailing the use of HOG features and k-NN for classifying mammal faces.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W2747071502,Sistem Kriptografi Citra Digital Pada Jaringan Intranet Menggunakan Metode Kombinasi Chaos Map Dan Teknik Selektif,APPROVED,"The abstract is written in English and semantically aligns with the title, discussing a digital image cryptography system on an intranet using chaos maps and selective techniques.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W2964113959,Perbandingan Metode Backpropagation dan Learning Vector Quantization (LVQ) Dalam Menggali Potensi Mahasiswa Baru di STMIK PalComTech,APPROVED,"The abstract is written in English and semantically aligns with the title, detailing a comparison between Backpropagation and LVQ methods for student potential analysis at STMIK PalComTech.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W3041113025,METODE KLASIFIKASI MUTU GREENBEAN KOPI ARABIKA LANANG DAN BIASA MENGGUNAKAN K-NEAREST NEIGHBOR BERDASARKAN BENTUK,APPROVED,"The abstract is written in English and semantically aligns with the title, detailing a study on classifying Arabica greenbean coffee quality using the K-Nearest Neighbor method.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W3000762208,Klasifikasi Gambar Gigitan Ular Menggunakan Regionprops dan Algoritma Decision Tree,APPROVED,"The title and abstract are both in English and semantically consistent, describing a study on classifying snake bite images using Regionprops and Decision Tree algorithms.",REJECTED,Language check failed (FastText detected non-English content.)
https://openalex.org/W4401051751,Prediksi Volume Sampah di TPSA Banyuurip Menggunakan Metode Backpropagation Neural Network,APPROVED,"The title is in Indonesian but the abstract is in English, satisfying the primary English language requirement for the abstract. The abstract directly addresses the title's topic of predicting waste volume at Banyuurip TPSA using the Backpropagation Neural Network method, confirming a strong semantic match.",REJECTED,Language check failed (FastText detected non-English content.)
